MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,LAST_FLIGHT_DATE,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,EXCHANGE_COUNT,avg_discount,Points_Sum,Point_NotFlight
11523,7/6/2007,7/17/2007,Male,6,shenzhen,guangdong,CN,49.0,3/31/2014,68,175383,62056.0,93021.0,135374,3/31/2014,1,10.46268657,39,2,1.349375212,201197,11
56088,12/3/2004,1/13/2005,Male,6,guangzhou,guangdong,CN,41.0,3/31/2014,111,184392,67261.0,62413.0,216560,3/28/2014,4,6.590909091,39,19,0.828452854,272042,100
56573,11/26/2007,12/14/2007,Female,6,guangzhou,guangdong,CN,38.0,3/31/2014,69,163542,65014.0,91429.0,131660,3/10/2014,22,9.676470587999999,77,6,1.3549435669999998,199477,39
38883,2/2/2008,2/2/2008,Male,6,guangzhou,guangdong,CN,48.0,3/31/2014,126,172529,83906.0,87043.0,204371,3/28/2014,4,5.704,33,2,0.867522349,234654,13
38035,12/28/2004,5/11/2005,Male,6,shenzhen,guangdongsheng,CN,42.0,3/31/2014,55,163139,53027.0,86719.0,153868,3/17/2014,15,13.16666667,59,0,1.1460005979999999,177562,5
11034,1/26/2005,3/9/2005,Male,5,beijing,.,CN,59.0,3/31/2014,76,155120,53644.0,85537.0,214921,3/11/2014,21,9.133333333,34,5,0.819187329,190530,13
47143,2/17/2005,2/17/2005,Male,6,.,beijing,CN,48.0,3/31/2014,68,165817,78610.0,74530.0,127335,3/17/2014,15,10.52238806,60,3,1.380410335,186501,9
29033,11/19/2004,11/19/2004,Male,6,HK,HK,HK,60.0,3/31/2014,77,169956,60120.0,91155.0,136121,3/31/2014,1,9.552631579,55,4,1.2880183809999999,195217,7
16812,6/9/2010,6/27/2010,Male,6,PUCHONG,Selangor Darul Ehsan,MY,52.0,3/31/2014,84,182039,69796.0,118928.0,186821,3/26/2014,6,8.734939759,69,1,0.9380310559999999,204668,2
5241,5/14/2011,5/14/2011,Male,6,hangzhoushi,zhejiang,CN,31.0,3/31/2014,96,165370,78243.0,65025.0,204612,3/18/2014,14,7.294736842000001,55,12,0.848239546,259585,81
49208,5/28/2010,10/16/2010,Male,6,beijing,beijing,CN,44.0,3/31/2014,30,188887,41590.0,81104.0,164001,3/24/2014,8,23.34482759,128,2,1.0572572120000001,219035,16
38241,8/13/2005,8/14/2005,Male,6,guangzhou,guangdong,CN,53.0,3/31/2014,85,179574,101471.0,66947.0,121097,3/13/2014,19,8.333333332999999,34,8,1.4261062619999998,195796,15
38456,11/15/2007,11/16/2007,Male,5,TORRANCE,CALIFORNIA,US,39.0,3/31/2014,32,188209,77606.0,63733.0,182563,1/4/2014,88,18.58064516,127,8,0.9446501209999999,206462,11
44377,7/10/2010,7/13/2010,Male,5,chengdu,sichuan,CN,53.0,3/31/2014,34,183443,69213.0,49135.0,170121,3/13/2014,19,21.57575758,90,10,1.0136699759999999,201302,13
49737,10/30/2010,10/31/2010,Male,6,shishi,fujian,CN,30.0,3/31/2014,197,99590,113295.0,41200.0,275800,3/31/2014,1,3.714285714,28,0,0.620507614,134178,3
47919,12/14/2008,5/20/2010,Female,6,,VIC,AU,43.0,3/31/2014,30,198230,80383.0,91978.0,184194,3/25/2014,7,24.44827586,92,3,0.928504294,212047,3
23528,8/15/2012,8/15/2012,Male,6,LOS ANGELES,CA,US,33.0,3/31/2014,18,161279,19100.0,46215.0,209911,1/30/2014,62,31.35294118,141,2,0.8118710790000001,182497,2
58088,10/19/2009,10/22/2009,Male,6,shenzhen,guangdong,CN,55.0,3/31/2014,64,179686,50385.0,115130.0,137636,3/13/2014,19,11.12698413,47,9,1.236256939,202596,14
51079,12/21/2011,12/21/2011,Male,6,shanghai,shanghai,CN,37.0,3/31/2014,149,141827,21251.0,45091.0,219108,3/28/2014,4,4.885135135,28,4,0.774487057,170799,8
19420,11/18/2007,8/23/2011,Male,6,changshashi,hunan,CN,47.0,3/31/2014,61,155772,36108.0,90487.0,143186,3/19/2014,13,11.93333333,56,3,1.183962818,170871,5
58753,10/13/2010,6/24/2012,Male,5,PARIS,PARIS,FR,28.0,3/31/2014,36,160297,34341.0,54825.0,209839,2/25/2014,36,17.45714286,94,2,0.8061770690000001,181775,4
13517,8/14/2010,12/29/2010,Female,6,PARIS,PARIS,FR,45.0,3/31/2014,22,187933,24615.0,105814.0,170406,3/10/2014,22,32.66666667,133,0,0.992454374,208960,1
56048,3/15/2013,3/17/2013,Male,6,Haarlem,Noord-Holland,NL,46.0,3/31/2014,23,193780,18062.0,89648.0,169224,3/3/2014,29,16.0,71,1,0.995539285,220828,3
50434,6/9/2011,6/22/2011,Male,4,LOS ANGELES,,US,44.0,3/31/2014,16,196213,37800.0,54093.0,163191,3/14/2014,18,45.0,193,3,1.019520072,206055,4
13869,10/26/2010,10/27/2010,Male,6,zhanjiang,guangdong,CN,42.0,3/31/2014,102,166991,79538.0,108837.0,140220,3/24/2014,8,7.00990099,42,1,1.1793689920000001,258781,36
47432,10/21/2005,2/21/2006,Male,5,guangzhou,guangdong,CN,47.0,3/31/2014,81,167849,90030.0,51276.0,159255,3/26/2014,6,9.0375,45,20,1.034587737,224076,64
60658,6/29/2012,6/29/2012,Female,6,MANTES LA VILLE,FR,FR,37.0,3/31/2014,30,148518,23000.0,61855.0,208687,3/26/2014,6,21.93103448,130,4,0.782406571,177837,5
9744,7/13/2006,7/11/2008,Male,5,.,beijing,CN,53.0,3/31/2014,127,168079,64222.0,95061.0,170611,3/20/2014,12,5.492063492000001,54,7,0.956332827,210483,25
18111,9/19/2008,9/19/2008,Male,6,wulumuqi,xinjiang,CN,44.0,3/31/2014,56,149456,44503.0,78197.0,116728,3/30/2014,2,11.47272727,68,5,1.394863786,164783,8
42444,4/25/2012,5/18/2012,Male,6,dongguan,guangdong,CN,67.0,3/31/2014,79,116059,77755.0,107694.0,208797,3/31/2014,1,8.756410256,32,2,0.777341772,154520,24
11055,2/17/2005,3/8/2005,Male,6,yangjiang,guangdong,CN,47.0,3/31/2014,97,152555,55464.0,88679.0,155881,3/23/2014,9,7.520833333,46,3,1.036667137,210280,51
47107,11/18/2004,11/18/2004,Female,6,shenzhen,guangdong,CN,57.0,3/31/2014,158,142626,73605.0,72492.0,205159,3/30/2014,2,4.624203822,25,3,0.784701427,167943,6
62880,5/8/2006,1/16/2009,Male,6,fuzhou,fujian,CN,55.0,3/31/2014,64,144803,33780.0,66940.0,115300,3/25/2014,7,11.33333333,54,0,1.3912993059999998,177907,9
49441,7/3/2010,7/3/2010,Male,6,shenzhenshi,guangdong,CN,47.0,3/31/2014,51,162790,65145.0,51533.0,137500,3/19/2014,13,14.14,79,1,1.165835855,175423,8
20569,6/28/2007,3/12/2010,Female,6,zhongqing,zhongqing,CN,35.0,3/31/2014,29,181871,52395.0,48737.0,157056,11/9/2013,144,19.96428571,81,6,1.0178590440000002,196377,13
47687,10/5/2007,10/25/2007,Male,6,guangzhou,guangdong,CN,70.0,3/31/2014,69,153766,71749.0,70946.0,114077,3/31/2014,1,10.5,109,10,1.3874902919999998,171652,15
37305,6/13/2008,6/13/2008,Male,6,guangzhou,guangdong,CN,40.0,3/31/2014,88,150790,37667.0,109401.0,122619,3/17/2014,15,8.091954023,90,6,1.281481989,203485,15
58189,1/31/2011,1/31/2011,Male,6,nanning,guangxi,CN,54.0,3/31/2014,42,178832,23150.0,65152.0,162453,3/17/2014,15,15.65853659,136,4,0.9660694479999999,198945,8
25857,1/26/2007,1/26/2007,Male,6,.,beijing,CN,43.0,3/31/2014,129,150057,85135.0,71385.0,109813,3/22/2014,10,5.5859375,17,8,1.429138536,209250,40
951,11/28/2006,11/28/2006,Male,6,.,beijing,CN,46.0,3/31/2014,67,148491,71181.0,71769.0,123464,3/18/2014,14,10.51515152,51,0,1.265322199,167126,5
4178,4/13/2010,2/21/2013,Male,5,SIPASDENA,CA91030,US,41.0,3/31/2014,12,181452,12500.0,110100.0,146784,2/8/2014,53,32.0,53,0,1.059166667,208118,2
2010,11/26/2004,2/13/2005,Male,6,guangzhoushi,guangdong,CN,40.0,3/31/2014,100,156294,64331.0,72891.0,162250,3/28/2014,4,7.323232322999999,27,2,0.952273652,234787,68
38290,9/23/2005,5/17/2006,Male,6,guangzhou,guangdong,CN,66.0,3/31/2014,69,148405,78724.0,56434.0,118726,3/21/2014,11,10.57352941,46,14,1.297050351,189498,47
57622,4/14/2011,4/14/2011,Male,6,Zwijndrecht,ZUID HOLLAND,NL,55.0,3/31/2014,17,157540,188926.0,174895.0,125349,2/27/2014,34,36.375,73,2,1.226505277,166984,3
2001,11/11/2004,11/27/2004,Female,6,guangzhoushi,guangdongsheng,CN,39.0,3/31/2014,12,181452,75100.0,53500.0,146784,3/23/2014,9,65.09090909,136,2,1.046666667,195408,6
60311,4/27/2012,5/18/2012,Male,6,xianggang,xianggang,HK,49.0,3/31/2014,54,135157,101923.0,71157.0,144562,3/28/2014,4,12.83018868,72,0,1.053910364,138647,0
36030,7/28/2008,7/28/2008,Male,6,zhuhai,guangdong,CN,51.0,3/31/2014,79,144647,74245.0,66353.0,123985,3/11/2014,21,9.076923077,48,7,1.228445376,214323,48
35766,9/8/2008,9/8/2008,Male,6,changchun,jilin,CN,56.0,3/31/2014,87,138406,69765.0,69062.0,105119,3/27/2014,5,8.38372093,36,9,1.4454897780000002,155309,13
33319,4/28/2012,4/28/2012,Male,5,wulumuqi,xinjiang,CN,41.0,3/31/2014,53,128965,76881.0,51012.0,144682,3/15/2014,17,13.21153846,81,12,1.046215562,143172,18
55096,1/3/2007,3/6/2007,Male,6,zhongshan,guangdong,CN,47.0,3/31/2014,92,139459,73350.0,66291.0,134823,3/15/2014,17,7.824175824,36,13,1.1183160890000001,213043,41
30681,5/26/2010,11/5/2010,Male,6,,,JP,55.0,3/31/2014,48,168825,96104.0,95788.0,150537,3/21/2014,11,14.91489362,70,5,1.001144569,220976,16
17837,10/22/2005,10/22/2005,Male,6,changchun,jilin,CN,48.0,3/31/2014,90,137685,68430.0,68978.0,108184,3/29/2014,3,8.112359551,51,6,1.390945611,154547,11
3872,1/18/2009,6/26/2009,Male,6,xianggang,xianggang,HK,61.0,3/31/2014,56,138314,59951.0,66704.0,104663,3/23/2014,9,12.90909091,82,0,1.435274261,150939,3
56201,4/5/2005,5/20/2005,Male,6,guangzhoushi,guangdong,CN,36.0,3/31/2014,146,140996,71300.0,68443.0,191328,3/28/2014,4,4.979310345,33,8,0.7832398290000001,181374,17
4468,9/14/2011,9/16/2011,Female,6,ANDE,ANDE,FR,33.0,3/31/2014,35,151293,53356.0,39002.0,167150,3/17/2014,15,21.05882353,192,0,0.894261083,151293,0
32602,10/9/2011,10/9/2011,Male,6,Glendale,CA,US,55.0,3/31/2014,33,160926,72497.0,5665.0,174046,1/29/2014,63,20.40625,108,3,0.85318887,164243,5
11277,8/26/2005,10/29/2005,Male,6,shenzhen,guangdong,CN,45.0,3/31/2014,142,138626,54428.0,80511.0,177357,3/25/2014,7,5.113475177,35,7,0.835532119,172256,13
45117,11/17/2010,2/6/2011,Male,6,Suwanee,GA,US,30.0,3/31/2014,31,126239,23421.0,32296.0,204438,2/17/2014,44,21.43333333,89,3,0.723434195,162728,39
19051,11/28/2006,11/29/2006,Male,6,beijing,beijing,CN,42.0,3/31/2014,53,146519,70090.0,56015.0,102999,3/3/2014,29,13.42307692,106,5,1.434114409,159103,8
19371,5/31/2007,5/31/2007,Male,5,CRONULLA,NSW,AU,53.0,3/31/2014,21,164969,69100.0,55700.0,159605,3/18/2014,14,32.35,80,7,0.9251142509999999,174849,8
60020,6/7/2012,6/16/2012,Female,4,LOS ANGELES,LA,US,49.0,3/31/2014,16,116312,20140.0,30850.0,195712,3/5/2014,27,41.86666667,150,0,0.75375,133754,1
2007,11/25/2004,4/19/2005,Male,6,guangzhou,guangdong,CN,43.0,3/31/2014,85,151345,58008.0,71227.0,155704,3/29/2014,3,8.630952381,60,15,0.9461749220000001,182967,21
56093,11/24/2004,11/24/2004,Male,6,guangzhoushi,guangdongsheng,CN,59.0,3/31/2014,71,141563,64754.0,70510.0,119961,3/10/2014,22,9.571428571,44,6,1.225504039,156664,10
62762,8/23/2008,8/25/2008,Male,6,shenyang,liaoning,CN,42.0,3/31/2014,130,145214,32720.0,50685.0,167593,3/30/2014,2,5.465116279,64,2,0.873661907,258114,64
49215,5/7/2010,5/29/2010,Male,6,shenzhen,guangdong,CN,40.0,3/31/2014,89,126501,43042.0,79130.0,149557,3/28/2014,4,7.8636363639999995,56,3,0.9780682279999999,295393,50
20362,7/29/2005,9/14/2005,Male,6,guangzhou,guangdong,CN,59.0,3/31/2014,83,139199,53260.0,82972.0,103087,3/21/2014,11,8.756097561,45,11,1.411593411,165577,17
38022,12/2/2004,6/30/2005,Male,6,guangzhoushi,guangdongsheng,CN,36.0,3/31/2014,99,146797,52996.0,69050.0,162215,3/30/2014,2,7.255102041000001,28,9,0.8969661870000001,200588,48
47179,3/16/2005,4/18/2005,Male,4,guangzhou,guangdong,CN,54.0,3/31/2014,40,124687,33993.0,35519.0,198627,3/5/2014,27,17.79487179,85,2,0.731685018,152573,6
17903,5/30/2008,5/30/2008,Male,6,changchun,jilin,CN,48.0,3/31/2014,52,134746,67215.0,58621.0,99524,3/21/2014,11,14.07843137,57,5,1.458000784,144914,7
45581,12/29/2005,12/29/2005,Male,6,guangzhou,guangdong,CN,49.0,3/31/2014,65,145852,73784.0,70564.0,119794,3/22/2014,10,10.96875,66,12,1.210876087,216228,36
47255,4/23/2005,6/21/2005,Female,5,wuhan,hubei,CN,48.0,3/31/2014,34,171324,83009.0,71460.0,151642,3/29/2014,3,19.0,126,1,0.951756044,186619,4
876,8/14/2006,8/14/2006,Male,6,.,beijing,CN,41.0,3/31/2014,83,149093,45490.0,79527.0,149993,3/26/2014,6,8.829268293,46,0,0.9607655690000001,165704,4
6088,11/14/2011,2/5/2012,Male,5,shanghaishi,shanghai,CN,46.0,3/31/2014,65,137293,62763.0,81624.0,109089,3/8/2014,24,10.78125,59,0,1.318943707,154356,4
50931,12/20/2012,12/25/2012,Female,6,VALINDA,CA,US,47.0,3/31/2014,18,162084,7444.0,70223.0,146238,3/9/2014,23,25.88235294,136,2,0.982511386,180183,2
38443,6/8/2007,6/8/2007,Male,6,guangzhou,guangdong,CN,47.0,3/31/2014,66,139155,58495.0,72152.0,102689,3/28/2014,4,11.13846154,61,1,1.39722054,174814,8
8850,4/17/2006,5/14/2006,Male,6,wulumuqi,xinjiang,CN,51.0,3/31/2014,52,128038,28768.0,75154.0,105167,3/30/2014,2,13.01960784,67,2,1.3569867919999998,155485,13
59307,3/15/2011,5/27/2012,Male,6,guangzhou,guangdong,CN,34.0,3/31/2014,27,119305,60310.0,25559.0,182561,2/23/2014,38,24.5,94,0,0.780547269,122509,0
20121,11/30/2004,1/5/2005,Male,6,shantoushi,guangdongsheng,CN,66.0,3/31/2014,193,130675,93532.0,60040.0,209912,3/31/2014,1,3.78125,31,17,0.6756097790000001,242611,25
53451,6/26/2012,5/16/2013,Male,6,wulumuqi,xinjiang,CN,50.0,3/31/2014,65,112582,0.0,119684.0,184730,3/26/2014,6,4.921875,70,1,0.764,153208,14
59669,4/11/2012,7/30/2012,Male,4,dongguan,guangdong,CN,62.0,3/31/2014,14,167720,45675.0,23100.0,144708,2/2/2014,59,42.46153846,208,2,0.97367319,179310,3
49369,10/19/2009,1/28/2010,Male,5,dongguan,guangdong,CN,63.0,3/31/2014,24,105572,26870.0,31155.0,213058,3/21/2014,11,30.73913043,86,2,0.658633893,111104,2
52814,10/9/2010,10/10/2010,Male,6,dalian,liaoning,CN,44.0,3/31/2014,89,122732,37259.0,72426.0,177556,3/15/2014,17,7.965909091,35,0,0.787337009,141293,2
57377,6/20/2008,11/13/2008,Male,6,.,beijing,CN,50.0,3/31/2014,57,139756,55150.0,69155.0,98104,3/24/2014,8,12.875,63,10,1.42497258,155326,14
31219,11/13/2009,11/13/2009,Male,6,shanghai,shanghai,CN,42.0,3/31/2014,101,122805,3126.0,15735.0,140188,3/20/2014,12,7.15,25,9,0.996902945,181303,32
29392,3/3/2013,3/3/2013,Male,6,dongguan,guangdong,CN,33.0,3/31/2014,19,139379,25220.0,84795.0,155552,3/16/2014,16,21.05555556,64,0,0.897522308,139379,0
12578,6/29/2006,6/29/2006,Female,5,guangzhou,guangdong,CN,47.0,3/31/2014,95,128687,73267.0,46603.0,140931,3/8/2014,24,7.425531915,52,9,0.988949912,142516,16
19439,4/1/2008,1/5/2011,Male,6,.,beijing,CN,51.0,3/31/2014,85,136565,75444.0,64034.0,97855,3/25/2014,7,8.595238095,45,3,1.423453171,194017,46
29034,11/24/2004,12/24/2004,Male,6,guangzhou,guangdong,CN,47.0,3/31/2014,108,146964,67505.0,57435.0,169746,3/10/2014,22,6.61682243,29,12,0.8176859540000001,192071,89
